Source,ID.Number,Latitude,Longitude,LocUncertain
VertNet,813,31.6522194,-97.3076222,NA
VertNet,814,27.0927056,-97.7904722,NA
VertNet,815,27.0258333,-98.20611,NA
VertNet,816,35.91405,-100.1167889,NA
VertNet,817,33.6442389,-98.8175194,NA
VertNet,818,32.7337,-99.6190361,NA
VertNet,819,33.7666611,-98.6657167,NA
VertNet,822,33.4942389,-98.6258917,NA
VertNet,828,33.6699639,-99.0871611,NA
VertNet,829,33.6994306,-98.4702222,NA
VertNet,830,33.7426139,-98.9679194,NA
VertNet,831,34.0196722,-99.1069306,NA
VertNet,832,33.7291528,-98.6949944,NA
VertNet,833,33.8160389,-98.7298361,NA
VertNet,834,33.6970917,-98.5017389,NA
VertNet,836,33.8463056,-98.6373944,NA
VertNet,837,32.6046278,-97.6862556,NA
VertNet,839,34.12056,-100.3647222,NA
VertNet,840,32.654425,-97.6703472,NA
VertNet,841,27.41679,-97.30681,NA
VertNet,842,32.4817167,-101.2093333,NA
VertNet,843,27.427418,-97.298282,NA
VertNet,844,31.34083,-100.09167,NA
VertNet,846,32.5051472,-97.5265194,NA
VertNet,847,33.9091833,-99.0728556,NA
VertNet,848,31.9974556,-101.8152972,NA
VertNet,849,33.9747639,-99.2856306,NA
VertNet,850,33.9073278,-99.3117,NA
VertNet,852,33.498375,-99.214875,NA
VertNet,853,32.6616056,-99.3017028,NA
VertNet,854,33.7949472,-98.7042417,NA
VertNet,855,31.4586111,-99.7386111,NA
VertNet,856,31.2662028,-99.7558694,NA
VertNet,857,31.5052778,-99.7386111,NA
VertNet,858,31.5591667,-99.8972222,NA
VertNet,860,33.9511028,-98.6690278,NA
VertNet,861,33.8322583,-98.5989,NA
VertNet,863,33.9084944,-98.4916417,NA
VertNet,865,33.9513139,-98.7912222,NA
VertNet,867,33.7300667,-98.8076,NA
VertNet,868,33.7548667,-98.7691694,NA
VertNet,869,33.2638278,-99.6172056,NA
VertNet,870,33.6304639,-98.976525,NA
VertNet,872,33.6861139,-99.078925,NA
VertNet,873,33.9816278,-99.1592861,NA
VertNet,874,33.8160417,-98.7124222,NA
VertNet,875,32.5332556,-97.1187556,NA
VertNet,876,27.47374,-97.28467,NA
VertNet,877,30.59353,-103.88946,NA
VertNet,878,33.4848583,-99.2085389,NA
VertNet,880,33.5956361,-98.6256,NA
VertNet,881,30.8904,-102.88303,NA
VertNet,882,33.8161389,-98.7473611,NA
VertNet,884,33.7826028,-98.8494806,NA
VertNet,885,33.71611,-98.36222,NA
gbif_UTEP,2234844685_http://arctos.database.museum/guid/UTEP:Herp:21923?seid=4260867,35.95846,-100.18841,11.43
gbif_UTEP,2234846474_http://arctos.database.museum/guid/UTEP:Herp:21924?seid=4260923,35.93405,-100.18027,11.3
gbif_UTEP,2234845951_http://arctos.database.museum/guid/UTEP:Herp:21852?seid=4149072,35.367633,-99.906183,5.49
gbif_UTEP,2234846540_http://arctos.database.museum/guid/UTEP:Herp:21683?seid=4041116,34.5435,-106.63243,5.8
gbif_UTEP,2234846656_http://arctos.database.museum/guid/UTEP:Herp:21683?seid=4040972,34.5435,-106.632433,5.8
gbif_FHSM,1078816568_urn:catalog:FHSM:HERP:16639,37.538984,-96.697386,NA
gbif_FC-UNAM,1895063527_urn:catalog:FC-UNAM:MZFC:MZFC-29525:f2f8df5c6bade1b8f31e8caead7183fe,26.840264,-102.128783,NA
gbif_FHSM,1078815946_urn:catalog:FHSM:HERP:15714,36.58301,-95.77613,NA
gbif_FHSM,358967292_urn:catalog:FHSM:HERP:14718,38.860464,-99.148494,NA
gbif_FHSM,358967325_urn:catalog:FHSM:HERP:13846,37.515355,-95.397104,NA
gbif_FHSM,358967326_urn:catalog:FHSM:HERP:13847,38.7698,-98.56159,NA
gbif_FHSM,358967264_urn:catalog:FHSM:HERP:14160,38.4502,-98.68112,NA
gbif_FHSM,358967268_urn:catalog:FHSM:HERP:14154,38.45033,-98.68018,NA
gbif_FHSM,358967222_urn:catalog:FHSM:HERP:14156,38.44903,-98.73873,NA
gbif_FHSM,358967262_urn:catalog:FHSM:HERP:14158,38.49928,-98.68247,NA
gbif_FHSM,358967271_urn:catalog:FHSM:HERP:14155,38.4504,-98.67757,NA
gbif_FHSM,358967267_urn:catalog:FHSM:HERP:14159,38.45038,-98.68058,NA
gbif_FHSM,358967223_urn:catalog:FHSM:HERP:14157,38.45575,-98.73793,NA
gbif_FHSM,358967303_urn:catalog:FHSM:HERP:14106,38.59135,-98.19095,NA
gbif_FHSM,358967252_urn:catalog:FHSM:HERP:14178,38.44875,-98.68348,NA
gbif_FHSM,358967249_urn:catalog:FHSM:HERP:14164,38.44912,-98.69408,NA
gbif_FHSM,358967281_urn:catalog:FHSM:HERP:14184,38.49972,-98.65065,NA
gbif_FHSM,358967286_urn:catalog:FHSM:HERP:14188,38.49983,-98.63577,NA
gbif_FHSM,358967233_urn:catalog:FHSM:HERP:14168,38.46233,-98.71808,NA
gbif_FHSM,358967260_urn:catalog:FHSM:HERP:14180,38.4486,-98.68265,NA
gbif_FHSM,358967236_urn:catalog:FHSM:HERP:14182,38.4623,-98.71802,NA
gbif_FHSM,358967261_urn:catalog:FHSM:HERP:14171,38.44932,-98.68263,NA
gbif_FHSM,358967270_urn:catalog:FHSM:HERP:14166,38.45758,-98.67915,NA
gbif_FHSM,358967284_urn:catalog:FHSM:HERP:14185,38.49903,-98.64747,NA
gbif_FHSM,358967221_urn:catalog:FHSM:HERP:14163,38.44912,-98.73908,NA
gbif_FHSM,358967282_urn:catalog:FHSM:HERP:14187,38.4994,-98.64882,NA
gbif_FHSM,358967254_urn:catalog:FHSM:HERP:14173,38.44917,-98.68282,NA
gbif_FHSM,358967253_urn:catalog:FHSM:HERP:14183,38.4486,-98.68312,NA
gbif_FHSM,358967279_urn:catalog:FHSM:HERP:14165,38.4998,-98.66428,NA
gbif_FHSM,358967296_urn:catalog:FHSM:HERP:14108,38.59468,-98.20148,NA
gbif_FHSM,358967317_urn:catalog:FHSM:HERP:14107,38.63098,-98.16485,NA
gbif_FHSM,358967247_urn:catalog:FHSM:HERP:14167,38.44908,-98.70588,NA
gbif_FHSM,358967315_urn:catalog:FHSM:HERP:14113,38.6455,-98.165,NA
gbif_FHSM,358967307_urn:catalog:FHSM:HERP:14112,38.59457,-98.18308,NA
gbif_FHSM,358967283_urn:catalog:FHSM:HERP:14186,38.49938,-98.6488,NA
gbif_FHSM,358967289_urn:catalog:FHSM:HERP:14169,38.45883,-98.63125,NA
gbif_FHSM,358967259_urn:catalog:FHSM:HERP:14179,38.44935,-98.68265,NA
gbif_FHSM,358967295_urn:catalog:FHSM:HERP:14110,38.708007,-98.369429,NA
gbif_FHSM,358967255_urn:catalog:FHSM:HERP:14172,38.44915,-98.6828,NA
gbif_FHSM,358967257_urn:catalog:FHSM:HERP:14176,38.44948,-98.68278,NA
gbif_FHSM,358967269_urn:catalog:FHSM:HERP:14161,38.45033,-98.68003,NA
